athlete,country,event,round,discipline,boulder,top,zone
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,6,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,1
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,2,1
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,1
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,2
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,3,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,4,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,4
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,2
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,2
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,2
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,5,5
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,3,3
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,5
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,5,4
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,4,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,4
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,7
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,4,1
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,4,4
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,2
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,3
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,2
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,2
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,3,2
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,6,4
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,4,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,5,5
