id,name,gear_style,country,orientation,region,crag,grade,grade_clean,grade_system
6202342029,"Gimpeln, die pimpeln",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:5-,5-,UIAA
6202341930,"Schlangen, die sangen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:7-,7-,UIAA
6202341831,"Affen, die gaffen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:8,8,UIAA
6202341732,Mäuse mit Läuse,Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:6,6,UIAA
6202341615,"Hasen, die grasen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:6,6,UIAA
6202341516,"Wanzen, die tanzen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:7+,7+,UIAA
6202341402,"Asseln, die rasseln",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:7+,7+,UIAA
6202341303,"Zecken, die necken",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:7+,7+,UIAA
6202341201,"Ziegen, die liegen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:6+,6+,UIAA
3286129137,"Eulen, die heulen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:1+,1+,UIAA
6202341102,"Schnecken, die schlecken",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:4-,4-,UIAA
6202341003,"Geißen, die sch...",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:3+,3+,UIAA
6202340904,"Spinnen, die singen",Sport,Austria,Ost,Rechter Nordgrat,Unterer Nordgrat,UIAA:3,3,UIAA
1363036833,Born to be bad,Sport,Austria,Ost,Thalhofergrat,Bachwand,UIAA:8-,8-,UIAA
1363036722,Hansi bitte Staft,Sport,Austria,Ost,Thalhofergrat,Bachwand,UIAA:9-,9-,UIAA
7045216413,Klapf Umrundung,Boulder,Austria,Ost,Thalhofergrat,Klapf,{FB} 6A,6A,FB
2360225301,Asfinag,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:5-,5-,UIAA
2360225196,Crash,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6-,6-,UIAA
2360225091,Die wilde Hetz,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6,6,UIAA
2360224977,Auslage,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6,6,UIAA
2360224872,Der Blechschaden,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6+,6+,UIAA
2360224755,Der Autostopper,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6,6,UIAA
2360224638,Faulenzer,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6+,6+,UIAA
2360224530,Faule Erbsen,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:7,7,UIAA
2360224425,Erbsensuppe,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:7+,7+,UIAA
2360224320,Die Prinzessin auf der Erbse,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:7-,7-,UIAA
2360224215,Bachstelze,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:4+,4+,UIAA
2360224110,Bachmücke,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:4-,4-,UIAA
2360224002,Normalweg,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:2,2,UIAA
2360223885,Blindschleiche,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:3+,3+,UIAA
2360223780,Kröte,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:4-,4-,UIAA
2360223675,Laubfrosch,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:4-,4-,UIAA
2360223570,Heuschrecke,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6,6,UIAA
2360223465,Prost,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:7-/7,7-,UIAA
2360223339,Scheisswind,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6,6,UIAA
2360223222,Nose,Sport,Austria,Ost,Thalhofergrat,Klapf,UIAA:6+,6+,UIAA
1361768178,Turmsteigverschneidung,Sport,Austria,Ost,Thalhofergrat,Obere Ostwand,UIAA:4+,4+,UIAA
